timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2015-09-26 00:00:00+00:00,XBTUSD,239.99,239.99,234.81,235.2,153,190090,235.91,24,44844188670,448.4418867000002,105792.66073543105
2015-09-27 00:00:00+00:00,XBTUSD,235.2,235.36,232.91,234.51,146,258488,233.99,200,60483729840,604.8372984000002,141526.71090172205
2015-09-28 00:00:00+00:00,XBTUSD,234.51,234.76,233.03,233.29,101,161013,233.55,1000,37604645900,376.04645899999986,87825.998859058
2015-09-29 00:00:00+00:00,XBTUSD,233.29,243.19,232.9,240.07,262,319143,237.981,50,75949944400,759.4994439999996,180755.7593278621
2015-09-30 00:00:00+00:00,XBTUSD,240.07,241.5,235.81,237.0,285,368771,238.266,9000,87865511830,878.6551183000008,209360.657738507
2015-10-01 00:00:00+00:00,XBTUSD,237.0,238.2,235.56,236.55,159,294736,236.892,1576,69820453660,698.2045366000006,165400.059583874
2015-10-02 00:00:00+00:00,XBTUSD,236.55,239.53,234.63,238.1,67,180356,237.689,2000,42868604320,428.68604320000003,101895.56061960202
2015-10-03 00:00:00+00:00,XBTUSD,238.1,238.99,237.09,238.0,68,133911,238.023,9,31873923980,318.7392398,75867.55001464998
2015-10-04 00:00:00+00:00,XBTUSD,238.0,241.0,237.53,239.67,121,127411,238.941,5000,30443690010,304.4369001,72743.089806925
2015-10-05 00:00:00+00:00,XBTUSD,239.67,239.93,238.3,238.58,62,148659,239.124,5000,35547938950,355.47938949999997,85003.81006301902
2015-10-06 00:00:00+00:00,XBTUSD,238.58,240.85,237.77,240.85,146,255736,239.134,2000,61155122910,611.5512290999998,146243.95797202905
2015-10-07 00:00:00+00:00,XBTUSD,240.85,249.0,240.68,247.09,475,536943,245.107,459,131608380940,1316.0838094000003,322612.95657887583
2015-10-08 00:00:00+00:00,XBTUSD,247.09,247.8,243.43,243.43,258,428099,245.154,7510,104950269450,1049.5026945000006,257294.75418074487
2015-10-09 00:00:00+00:00,XBTUSD,243.43,245.73,243.0,243.19,136,393019,243.826,8,95828243890,958.2824389000003,233654.94543618307
2015-10-10 00:00:00+00:00,XBTUSD,243.19,244.91,242.99,244.4,149,466508,243.998,80,113827191420,1138.2719142000008,277737.17215008
2015-10-11 00:00:00+00:00,XBTUSD,244.4,246.08,243.77,246.0,142,300969,245.076,9980,73760371520,737.6037151999997,180770.78198453996
2015-10-12 00:00:00+00:00,XBTUSD,246.0,248.56,245.18,248.13,188,657289,246.464,10,161998087950,1619.9808794999997,399275.64347010525
2015-10-13 00:00:00+00:00,XBTUSD,248.13,248.41,245.7,246.38,219,710444,246.742,1000,175296250750,1752.9625074999985,432533.52607313695
2015-10-14 00:00:00+00:00,XBTUSD,246.38,251.49,244.47,250.76,395,1284157,248.669,15000,319329866450,3193.2986645,794135.3279334059
2015-10-15 00:00:00+00:00,XBTUSD,250.76,255.55,249.99,253.32,360,1196167,251.986,10,301416775960,3014.1677595999936,759547.8449492935
2015-10-16 00:00:00+00:00,XBTUSD,253.32,257.18,253.04,254.86,432,3508869,255.19,1580,895427367550,8954.273675500004,2285068.3088544016
2015-10-17 00:00:00+00:00,XBTUSD,254.86,267.55,254.88,263.89,1338,4632494,262.635,2000,1216654044430,12166.54044429999,3195747.91406717
2015-10-18 00:00:00+00:00,XBTUSD,263.89,278.51,263.0,273.91,1765,9988015,269.93,10000,2696066488820,26960.66488820006,7278356.806096141
2015-10-19 00:00:00+00:00,XBTUSD,273.91,275.05,262.0,265.63,763,3216612,268.353,371,863187566770,8631.875667699986,2316826.47487326
2015-10-20 00:00:00+00:00,XBTUSD,265.63,270.69,261.55,265.35,625,2241882,265.23,7560,594613969240,5946.139692400001,1577146.1079642985
2015-10-21 00:00:00+00:00,XBTUSD,265.35,274.49,264.68,271.85,1013,2770928,268.625,50,744340946150,7443.409461500003,1999627.1120371488
2015-10-22 00:00:00+00:00,XBTUSD,271.85,273.45,263.88,268.37,1190,2806074,267.67,10000,751101202760,7511.012027600027,2010591.896524182
2015-10-23 00:00:00+00:00,XBTUSD,268.37,280.0,267.65,276.9,715,2263003,275.151,12500,622666830450,6226.668304500005,1713458.0558457382
2015-10-24 00:00:00+00:00,XBTUSD,276.9,282.38,275.47,279.8,744,1898945,278.949,5000,529708571690,5297.085716900001,1477644.73034757
2015-10-25 00:00:00+00:00,XBTUSD,279.8,286.9,278.35,285.39,905,2753916,282.253,100,777299700970,7772.997009700004,2194011.0686280606
2015-10-26 00:00:00+00:00,XBTUSD,285.39,299.51,282.9,285.79,1651,5663816,290.884,2500,1647511675950,16475.11675949999,4793381.787770724
2015-10-27 00:00:00+00:00,XBTUSD,285.79,292.29,281.01,289.32,924,3596017,285.923,10000,1028184466490,10281.844664900013,2939942.4031352936
2015-10-28 00:00:00+00:00,XBTUSD,289.32,305.32,286.89,296.51,1576,4671955,295.18,10000,1379066734490,13790.667344899986,4071259.2467919746
2015-10-29 00:00:00+00:00,XBTUSD,296.51,310.36,296.6,306.99,1662,4231430,303.953,2151,1286154721810,12861.547218100028,3909606.4136985494
2015-10-30 00:00:00+00:00,XBTUSD,306.99,322.0,303.14,316.6,1889,5642264,313.133,5000,1766778498600,17667.78498599998,5533545.116855099
2015-10-31 00:00:00+00:00,XBTUSD,316.6,336.81,300.0,333.0,2708,7526523,327.324,3510,2463611146890,24636.11146890006,8065343.28984111
2015-11-01 00:00:00+00:00,XBTUSD,333.0,338.7,307.53,317.73,1759,5842767,324.745,5000,1897410931710,18974.109317100003,6165125.470266306
2015-11-02 00:00:00+00:00,XBTUSD,317.73,335.0,314.0,331.38,1312,2599899,323.196,1081,840278197170,8402.781971699987,2716580.3751363433
2015-11-03 00:00:00+00:00,XBTUSD,331.38,380.0,326.95,371.98,2911,3855966,346.339,2500,1335472812810,13354.728128100049,4631941.379518047
2015-11-04 00:00:00+00:00,XBTUSD,371.98,440.0,365.18,422.0,4136,6102534,397.441,201,2425396291700,24253.96291700004,9659266.247607337
2015-11-05 00:00:00+00:00,XBTUSD,422.0,558.0,382.0,424.0,6073,5738641,469.848,100,2696288233600,26962.882336000013,12756637.869104708
2015-11-06 00:00:00+00:00,XBTUSD,424.0,472.73,375.0,402.0,4258,3820602,410.745,795,1569293080080,15692.930800799979,6460819.238345634
2015-11-07 00:00:00+00:00,XBTUSD,402.0,408.32,359.0,377.61,3348,3353266,377.228,150,1264946172440,12649.461724400004,4775453.596550855
2015-11-08 00:00:00+00:00,XBTUSD,377.61,394.99,373.91,384.34,2390,2032334,386.006,27,784492181620,7844.921816199997,3028645.6043051532
2015-11-09 00:00:00+00:00,XBTUSD,384.34,394.82,365.0,372.0,2357,1938629,380.819,50,738267475190,7382.674751900005,2812487.2952603325
2015-11-10 00:00:00+00:00,XBTUSD,372.0,395.21,361.32,383.25,2307,2043266,378.041,222,772437862820,7724.378628199987,2921418.6806321354
2015-11-11 00:00:00+00:00,XBTUSD,383.25,385.96,326.88,339.45,3044,3018387,357.633,5000,1079473413580,10794.73413580003,3869324.2635599715
2015-11-12 00:00:00+00:00,XBTUSD,339.45,344.0,301.09,314.5,5000,3906724,316.574,1250,1236768274530,12367.68274530001,3918249.1069333213
2015-11-13 00:00:00+00:00,XBTUSD,314.5,349.84,313.7,338.25,4733,3688177,331.499,100,1222628406270,12226.284062699982,4055031.7679939847
2015-11-14 00:00:00+00:00,XBTUSD,338.25,344.75,325.21,338.81,2873,1939377,335.704,1308,651056581900,6510.565819000013,2186010.0486353124
2015-11-15 00:00:00+00:00,XBTUSD,338.81,345.03,329.31,333.63,2456,1637971,334.589,1250,548046932860,5480.46932860001,1833804.229016424
2015-11-16 00:00:00+00:00,XBTUSD,333.63,335.08,314.5,320.43,1831,1621865,323.156,500,524116002900,5241.16002900001,1694212.532677135
2015-11-17 00:00:00+00:00,XBTUSD,320.43,334.77,314.1,332.05,1497,1502612,323.189,487,485627113890,4856.271138900011,1569970.5655624478
2015-11-18 00:00:00+00:00,XBTUSD,332.05,342.69,331.15,336.4,2543,1530487,336.978,300,515740000300,5157.400002999989,1738007.7463175696
2015-11-19 00:00:00+00:00,XBTUSD,336.4,339.69,328.77,336.5,2198,1208577,334.706,1450,404517804170,4045.1780416999964,1354001.5547174036
2015-11-20 00:00:00+00:00,XBTUSD,336.5,336.84,324.85,326.65,1614,1209300,330.737,383,399960196950,3999.6019695000045,1322935.44261429
2015-11-21 00:00:00+00:00,XBTUSD,326.65,327.37,309.99,322.09,2360,1878107,320.236,483,601436914050,6014.369140500005,1926200.5315714343
2015-11-22 00:00:00+00:00,XBTUSD,322.09,330.62,319.67,328.24,1135,1113793,325.745,3500,362812064990,3628.1206499000004,1181929.0315607318
2015-11-23 00:00:00+00:00,XBTUSD,328.24,328.6,319.81,324.92,938,912601,324.242,100,295903555180,2959.0355517999983,959469.8059849952
2015-11-24 00:00:00+00:00,XBTUSD,324.92,331.94,320.96,323.81,1317,803797,323.774,15,260248386020,2602.483860199999,842622.8795889649
2015-11-25 00:00:00+00:00,XBTUSD,323.81,323.76,315.79,319.8,1517,927965,320.995,5968,297871899820,2978.7189981999963,956176.0199322597
2015-11-26 00:00:00+00:00,XBTUSD,319.8,334.49,315.84,329.42,2020,1220511,324.438,16,395980528790,3959.805287899998,1284949.39054893
2015-11-27 00:00:00+00:00,XBTUSD,329.42,372.42,329.25,354.2,4410,3054060,348.706,3655,1064970199370,10649.70199369999,3716137.1833632574
2015-11-28 00:00:00+00:00,XBTUSD,354.2,367.4,350.0,361.7,3817,2415770,360.221,560,870210514130,8702.105141299997,3135025.2073193802
2015-11-29 00:00:00+00:00,XBTUSD,361.7,362.29,350.0,359.72,2750,1678983,356.207,1769,598066194680,5980.661946799989,2130438.3351791985
2015-11-30 00:00:00+00:00,XBTUSD,359.72,382.74,355.1,379.5,2373,1407040,367.912,10,517667059270,5176.670592700001,1905224.4198820419
2015-12-01 00:00:00+00:00,XBTUSD,379.5,388.5,373.32,381.43,4803,2619821,380.431,17,996660721090,9966.607210899983,3791815.7504543914
2015-12-02 00:00:00+00:00,XBTUSD,381.43,384.75,347.03,364.1,3504,2092391,365.845,24,765490957800,7654.909578000021,2801793.164190949
